Order,HSK Level-Order,Word,Pronunciation,Definition,Soundfile,Stroke count
60,1-60,妈妈,ma1 ma5,mama; mommy; mother,chi-75b3ff5b.ogg,0,
61,1-61,吗,ma5,(question tag),chi-d471d75b.ogg,0,
62,1-62,买,mai3,to buy; to purchase,chi-c09c01d2.ogg,0,
63,1-63,猫,mao1,cat,zh-mao.ogg,0,
64,1-64,没,mei2,(negative prefix for verbs); have not; not,chi-95f899d2.ogg,0,
65,1-65,没关系,mei2 guan1 xi5,it doesn't matter,chi-68376680.ogg,0,
66,1-66,米饭,mi3 fan4,(cooked) rice,chi-839a2676.ogg,0,
67,1-67,明天,ming2 tian1,tomorrow,chi-f8c71a31.ogg,0,
68,1-68,名字,ming2 zi5,name (of a person or thing),chi-6f80568a.ogg,0,
69,1-69,哪,na3,how; which,hsk1-69a.ogg,0,
70,1-69,哪儿,na3 r,where?; wherever; anywhere,hsk1-69b.ogg,0,
71,1-70,那,na4,that; those; then (in that case); commonly pr. nei4 before a classifier; esp. in Beijing,chi-bbd1025e.ogg,0,
72,1-70,那儿,na4 r,there,hsk1-70.ogg,0,
73,1-71,呢,ne5,(question particle for subjects already mentioned),chi-02a461a2.ogg,0,
74,1-72,能,neng2,to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of,chi-40a6c2cb.ogg,0,
75,1-73,你,ni3,you (informal; as opposed to polite [nin2]),chi-2a3f599e.ogg,0,
76,1-74,年,nian2,year,chi-6254eb48.ogg,0,
77,1-75,女儿,nü3 er2,daughter,chi-59f6df3b.ogg,0,
78,1-76,朋友,peng2 you5,friend,chi-af538c9c.ogg,0,
79,1-77,漂亮,piao4 liang5,pretty; beautiful,chi-e099e4eb.ogg,0,
80,1-78,苹果,ping2 guo3,apple,chi-ae3d85d7.ogg,0,
81,1-79,七,qi1,seven; 7,chi-71cfc353.ogg,0,
82,1-80,钱,qian2,coin; money,chi-90f449a8.ogg,0,
83,1-81,前面,qian2 mian4,ahead; in front; preceding; above,hsk1-81.ogg,0,
84,1-82,请,qing3,to ask; to invite; please (do sth); to treat (to a meal etc); to request,chi-0c67a387.ogg,0,
85,1-83,去,qu4,to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed,chi-2832389f.ogg,0,
86,1-84,热,re4,heat; to heat up; fervent; hot (of weather); warm up,chi-8465c6e1.ogg,0,
87,1-85,人,ren2,man; person; people,chi-1b3df0fa.ogg,0,
88,1-86,认识,ren4 shi5,to know; to recognize; to be familiar with; acquainted with sth; knowledge; understanding; awareness; cognition,chi-ee0af507.ogg,0,
89,1-87,日,ri4,sun; day; date; day of the month; abbr. for Japan,chi-8d480200.ogg,0,
90,1-88,三,san1,three; 3,chi-eee24b9a.ogg,0,
91,1-89,商店,shang1 dian4,store; shop,chi-84978086.ogg,0,
92,1-90,上,shang4,on; on top; upon; first (of multiple parts); previous; last; upper; higher; above; to climb; to go into; to go up; to attend (class or university),chi-92a5eacf.ogg,0,
93,1-91,上午,shang4 wu3,morning,chi-0227841a.ogg,0,
94,1-92,少,shao3,few; little; lack,chi-a2407229.ogg,0,
95,1-93,谁,shei2,who; also pronounced shui2,chi-de90126a.ogg,0,
96,1-94,什么,shen2 me5,what?; who?; something; anything,chi-2e63dba9.ogg,0,
97,1-95,十,shi2,ten; 10,chi-24005915.ogg,0,
98,1-96,时候,shi2 hou5,time; length of time; moment; period,chi-5760c7ed.ogg,0,
99,1-97,是,shi4,is; are; am; yes; to be,chi-d5c8b94f.ogg,0,
100,1-98,书,shu1,book; letter,chi-1116eff7.ogg,0,
101,1-99,水,shui3,water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes,chi-cc2b6968.ogg,0,
102,1-100,水果,shui3 guo3,fruit,chi-b997425e.ogg,0,
103,1-101,睡觉,shui4 jiao4,to go to bed; to go to sleep,chi-3d4eb003.ogg,0,
104,1-102,说话,shuo1 hua4,to speak; to say; to talk; to gossip; to tell stories; talk; word,hsk1-102.ogg,0,
105,1-103,四,si4,four; 4,chi-d4b1b436.ogg,0,
106,1-104,岁,sui4,classifier for years (of age); year; year (of crop harvests),0,
107,1-105,他,ta1,he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another,chi-19d28c1b.ogg,0,
108,1-106,她,ta1,she,chi-822ba232.ogg,0,
109,1-107,太,tai4,highest; greatest; too (much); very; extremely,chi-896d645a.ogg,0,
110,1-108,天气,tian1 qi4,weather,chi-18f3bc61.ogg,0,
111,1-109,听,ting1,to listen; to hear; to obey; a can (loanword from English tin); classifier for canned beverages,chi-3677e7da.ogg,0,
112,1-110,同学,tong2 xue2,(fellow) classmate,chi-b13c9232.ogg,0,
113,1-111,喂,wei4,hello (interjection; esp. on telephone); hey; to feed (somebody or some animal),chi-8702729c.ogg,0,
114,1-112,我,wo3,I; me; my,chi-88afb64c.ogg,0,
115,1-113,我们,wo3 men5,we; us; ourselves; our,chi-11e9c2db.ogg,0,
116,1-114,五,wu3,five; 5,chi-77012b86.ogg,0,
117,1-115,喜欢,xi3 huan5,to like; to be fond of,chi-b0035bd5.ogg,0,
118,1-116,下,xia4,down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down,chi-1b186193.ogg,0,
119,1-117,下午,xia4 wu3,afternoon; p.m.,chi-7b5b2828.ogg,0,
120,1-118,下雨,xia4 yu3,to rain; rainy,hsk1-118.ogg,0,
121,1-119,先生,xian1 sheng5,teacher; Mister (Mr.); husband; doctor (topolect),chi-a49bf63b.ogg,0,
122,1-120,现在,xian4 zai4,now; at present; at the moment; modern; current; nowadays,chi-6a19c1ac.ogg,0,
123,1-121,想,xiang3,to think; to believe; to suppose; to wish; to want; to miss,chi-4aa00965.ogg,0,
124,1-122,小,xiao3,small; tiny; few; young,chi-5acdc3ce.ogg,0,
125,1-123,小姐,xiao3 jie5,young lady; miss,chi-c03acd4f.ogg,0,
126,1-124,些,xie1,some; few; several; (a measure word),chi-7fc085f0.ogg,0,
127,1-125,写,xie3,to write,chi-9fba6371.ogg,0,
128,1-126,谢谢,xie4 xie5,to thank; thanks,chi-fba5fb8c.ogg,0,
129,1-127,星期,xing1 qi1,week,chi-d58fd11a.ogg,0,
130,1-128,学生,xue2 sheng5,student; school child,chi-8c3f1546.ogg,0,
131,1-129,学习,xue2 xi2,to learn; to study,chi-69745ce3.ogg,0,
132,1-130,学校,xue2 xiao4,school,chi-75a1a4f6.ogg,0,
